"ProcessName","Path","Id"
"Spotify","C:\Users\nico\AppData\Roaming\Spotify\Spotify.exe","21524"
"SSUService",,"5956"
"StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","28436"
"steam","C:\Program Files (x86)\Steam\steam.exe","17504"
"steamservice",,"12588"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","17192"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","19604"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","19652"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","19924"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","20508"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","22040"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","22948"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","23076"
"SupportAssistAgent",,"25804"
"svchost",,"1472"
"svchost","C:\WINDOWS\system32\svchost.exe","1480"
"svchost",,"1840"
"svchost",,"1992"
"svchost",,"2076"
"svchost",,"2100"
"svchost",,"2132"
"svchost",,"2144"
"svchost",,"2240"
"svchost",,"2252"
"svchost",,"2376"
"svchost",,"2448"
"svchost",,"2468"
"svchost",,"2484"
"svchost",,"2516"
"svchost",,"2728"
"svchost",,"2736"
"svchost",,"2916"
"svchost",,"2940"
"svchost",,"3044"
"svchost",,"3060"
"svchost",,"3196"
"svchost",,"3356"
"svchost",,"3376"
"svchost",,"3444"
"svchost",,"3536"
"svchost",,"3624"
"svchost",,"3632"
"svchost",,"3760"
"svchost",,"3768"
"svchost",,"3872"
"svchost",,"3952"
"svchost",,"4152"
"svchost",,"4248"
"svchost",,"4400"
"svchost",,"4460"
"svchost",,"4556"
"svchost",,"4592"
"svchost",,"4672"
"svchost",,"4680"
"svchost",,"4844"
"svchost",,"4884"
"svchost",,"4996"
"svchost",,"5080"
"svchost",,"5300"
"svchost",,"5576"
"svchost",,"5588"
"svchost",,"5632"
"svchost",,"5640"
"svchost",,"5648"
"svchost",,"5760"
"svchost",,"5784"
"svchost",,"5792"
"svchost",,"6464"
"svchost",,"6744"
"svchost",,"6984"
"svchost",,"7844"
"svchost",,"7936"
"svchost",,"8772"
"svchost",,"8808"
"svchost",,"8956"
"svchost","C:\WINDOWS\system32\svchost.exe","8976"
"svchost",,"9028"
"svchost",,"9652"
"svchost",,"10080"
"svchost",,"11272"
"svchost",,"11420"
"svchost",,"11792"
"svchost",,"11848"
"svchost",,"12236"
"svchost","C:\WINDOWS\system32\svchost.exe","12420"
"svchost","C:\WINDOWS\system32\svchost.exe","12508"
"svchost",,"12964"
"svchost","C:\WINDOWS\system32\svchost.exe","13096"
"svchost",,"13504"
"svchost","C:\WINDOWS\system32\svchost.exe","13528"
"svchost",,"13960"
"svchost",,"14284"
"svchost",,"14912"
"svchost",,"15616"
"svchost",,"16276"
"svchost",,"17432"
"svchost",,"17884"
"svchost","C:\WINDOWS\System32\svchost.exe","21412"
"svchost",,"25024"
"svchost","C:\WINDOWS\system32\svchost.exe","29660"
"svchost",,"32364"
"svchost","C:\WINDOWS\system32\svchost.exe","32780"
"svchost","C:\WINDOWS\system32\svchost.exe","35208"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","8280"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","13400"
"TbtP2pShortcutService",,"5744"
"TeamViewer_Service",,"26212"
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","20640"
"ThunderboltService",,"5776"
"THXService",,"5856"
"TmsaInstance64",,"25288"
"ToolbarNativeMsgHost","C:\Program Files\Trend Micro\Titanium\UIFramework\Toolbar\chromeextension\NativeMessageHost\ToolbarNativeMsgHost.exe","26588"
"uiSeAgnt","C:\Program Files\Trend Micro\UniClient\UiFrmWrk\uiSeAgnt.exe","17604"
"uiWatchDog",,"5832"
"unsecapp",,"32388"
"UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","3912"
"vmware-authd",,"5912"
"vmware-usbarbitrator64",,"5904"
"Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_423.3400.0.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","2440"
"WidgetService","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_423.3400.0.0_x64__cw5n1h2txyewy\Dashboard\widgetservice.exe","24796"
"wininit",,"1628"
"winlogon",,"1184"
"wlanext",,"3572"
"WmiPrvSE",,"1576"
"WmiPrvSE",,"4356"
"WmiPrvSE",,"6944"
"WMIRegistrationService",,"5768"
"WUDFHost",,"1208"
"WUDFHost",,"1912"
"WUDFHost",,"3416"
"XtuService",,"17516"
